Year,Region_Code,Region_Name,Total_population
2000,E12000001,North East,2543421
2000,E12000002,North West,6774223
2000,E12000003,Yorkshire and The Humber,4958609
2000,E12000004,East Midlands,4168076
2000,E12000005,West Midlands,5269626
2000,E12000006,East,5374972
2000,E12000007,London,7236712
2000,E12000008,South East,7990598
2000,E12000009,South West,4917074
2000,W92000004,Wales,2906870
2001,E12000001,North East,2540090
2001,E12000002,North West,6772985
2001,E12000003,Yorkshire and The Humber,4976643
2001,E12000004,East Midlands,4189622
2001,E12000005,West Midlands,5280727
2001,E12000006,East,5400463
2001,E12000007,London,7322403
2001,E12000008,South East,8023449
2001,E12000009,South West,4943364
2001,W92000004,Wales,2910232
2002,E12000001,North East,2540600
2002,E12000002,North West,6784880
2002,E12000003,Yorkshire and The Humber,5000111
2002,E12000004,East Midlands,4221753
2002,E12000005,West Midlands,5301243
2002,E12000006,East,5432688
2002,E12000007,London,7376671
2002,E12000008,South East,8045192
2002,E12000009,South West,4976129
2002,W92000004,Wales,2922876
2003,E12000001,North East,2540461
2003,E12000002,North West,6814660
2003,E12000003,Yorkshire and The Humber,5026314
2003,E12000004,East Midlands,4255080
2003,E12000005,West Midlands,5325475
2003,E12000006,East,5474133
2003,E12000007,London,7394817
2003,E12000008,South East,8087924
2003,E12000009,South West,5006653
2003,W92000004,Wales,2937721
2004,E12000001,North East,2540502
2004,E12000002,North West,6840369
2004,E12000003,Yorkshire and The Humber,5063199
2004,E12000004,East Midlands,4291476
2004,E12000005,West Midlands,5346376
2004,E12000006,East,5508564
2004,E12000007,London,7432730
2004,E12000008,South East,8133100
2004,E12000009,South West,5038284
2004,W92000004,Wales,2957422
2005,E12000001,North East,2547127
2005,E12000002,North West,6870021
2005,E12000003,Yorkshire and The Humber,5108408
2005,E12000004,East Midlands,4329112
2005,E12000005,West Midlands,5380687
2005,E12000006,East,5562653
2005,E12000007,London,7519009
2005,E12000008,South East,8202896
2005,E12000009,South West,5086121
2005,W92000004,Wales,2969309
2006,E12000001,North East,2552568
2006,E12000002,North West,6901585
2006,E12000003,Yorkshire and The Humber,5134016
2006,E12000004,East Midlands,4366676
2006,E12000005,West Midlands,5415521
2006,E12000006,East,5606294
2006,E12000007,London,7597825
2006,E12000008,South East,8270861
2006,E12000009,South West,5119840
2006,W92000004,Wales,2985668
2007,E12000001,North East,2562045
2007,E12000002,North West,6929277
2007,E12000003,Yorkshire and The Humber,5164138
2007,E12000004,East Midlands,4404774
2007,E12000005,West Midlands,5451924
2007,E12000006,East,5653534
2007,E12000007,London,7693473
2007,E12000008,South East,8351391
2007,E12000009,South West,5170537
2007,W92000004,Wales,3006299
2008,E12000001,North East,2569312
2008,E12000002,North West,6958547
2008,E12000003,Yorkshire and The Humber,5198675
2008,E12000004,East Midlands,4441125
2008,E12000005,West Midlands,5496240
2008,E12000006,East,5708350
2008,E12000007,London,7812161
2008,E12000008,South East,8426399
2008,E12000009,South West,5205044
2008,W92000004,Wales,3025867
2009,E12000001,North East,2575441
2009,E12000002,North West,6986156
2009,E12000003,Yorkshire and The Humber,5223344
2009,E12000004,East Midlands,4471653
2009,E12000005,West Midlands,5528007
2009,E12000006,East,5751443
2009,E12000007,London,7942594
2009,E12000008,South East,8490922
2009,E12000009,South West,5226821
2009,W92000004,Wales,3038872
2010,E12000001,North East,2586868
2010,E12000002,North West,7019921
2010,E12000003,Yorkshire and The Humber,5254788
2010,E12000004,East Midlands,4507071
2010,E12000005,West Midlands,5565866
2010,E12000006,East,5807402
2010,E12000007,London,8061495
2010,E12000008,South East,8577771
2010,E12000009,South West,5261270
2010,W92000004,Wales,3049971
2011,E12000001,North East,2596441
2011,E12000002,North West,7055961
2011,E12000003,Yorkshire and The Humber,5288212
2011,E12000004,East Midlands,4537448
2011,E12000005,West Midlands,5608667
2011,E12000006,East,5862418
2011,E12000007,London,8204407
2011,E12000008,South East,8652784
2011,E12000009,South West,5300831
2011,W92000004,Wales,3063758
2012,E12000001,North East,2602387
2012,E12000002,North West,7084470
2012,E12000003,Yorkshire and The Humber,5316897
2012,E12000004,East Midlands,4567798
2012,E12000005,West Midlands,5642763
2012,E12000006,East,5905914
2012,E12000007,London,8308833
2012,E12000008,South East,8724928
2012,E12000009,South West,5339739
2012,W92000004,Wales,3074067
2013,E12000001,North East,2610563
2013,E12000002,North West,7103488
2013,E12000003,Yorkshire and The Humber,5337940
2013,E12000004,East Midlands,4598548
2013,E12000005,West Midlands,5675030
2013,E12000006,East,5951934
2013,E12000007,London,8417458
2013,E12000008,South East,8793154
2013,E12000009,South West,5377702
2013,W92000004,Wales,3082412
2014,E12000001,North East,2618736
2014,E12000002,North West,7133026
2014,E12000003,Yorkshire and The Humber,5360117
2014,E12000004,East Midlands,4637369
2014,E12000005,West Midlands,5713439
2014,E12000006,East,6017250
2014,E12000007,London,8539398
2014,E12000008,South East,8874005
2014,E12000009,South West,5423278
2014,W92000004,Wales,3092036
2015,E12000001,North East,2624579
2015,E12000002,North West,7175178
2015,E12000003,Yorkshire and The Humber,5390211
2015,E12000004,East Midlands,4677425
2015,E12000005,West Midlands,5755032
2015,E12000006,East,6075970
2015,E12000007,London,8666930
2015,E12000008,South East,8949392
2015,E12000009,South West,5471610
2015,W92000004,Wales,3099086
2016,E12000001,North East,2636589
2016,E12000002,North West,7223961
2016,E12000003,Yorkshire and The Humber,5425370
2016,E12000004,East Midlands,4725390
2016,E12000005,West Midlands,5810773
2016,E12000006,East,6129005
2016,E12000007,London,8769659
2016,E12000008,South East,9030347
2016,E12000009,South West,5516973
2016,W92000004,Wales,3113150
2017,E12000001,North East,2644727
2017,E12000002,North West,7258627
2017,E12000003,Yorkshire and The Humber,5450130
2017,E12000004,East Midlands,4771666
2017,E12000005,West Midlands,5860706
2017,E12000006,East,6168432
2017,E12000007,London,8825001
2017,E12000008,South East,9080825
2017,E12000009,South West,5559316
2017,W92000004,Wales,3125165
2018,E12000001,North East,2657909
2018,E12000002,North West,7292093
2018,E12000003,Yorkshire and The Humber,5479615
2018,E12000004,East Midlands,4804149
2018,E12000005,West Midlands,5900757
2018,E12000006,East,6201214
2018,E12000007,London,8908081
2018,E12000008,South East,9133625
2018,E12000009,South West,5599735
2018,W92000004,Wales,3138631
2019,E12000001,North East,2669941
2019,E12000002,North West,7341196
2019,E12000003,Yorkshire and The Humber,5502967
2019,E12000004,East Midlands,4835928
2019,E12000005,West Midlands,5934037
2019,E12000006,East,6236072
2019,E12000007,London,8961989
2019,E12000008,South East,9180135
2019,E12000009,South West,5624696
2019,W92000004,Wales,3152879
2020,E12000001,North East,2680763
2020,E12000002,North West,7367456
2020,E12000003,Yorkshire and The Humber,5526350
2020,E12000004,East Midlands,4865583
2020,E12000005,West Midlands,5961929
2020,E12000006,East,6269161
2020,E12000007,London,9002488
2020,E12000008,South East,9217265
2020,E12000009,South West,5659143
2020,W92000004,Wales,3169586
